cpu_usage,memory_usage,disk_read_iops,disk_write_iops,network_in,network_out,disk_read_latency,disk_write_latency,disk_free_space,packet_loss,network_latency,query_execution_time,active_connections,http_requests_per_sec,backend_latency,label,timestamp
33.62,18GB,130,392,23GB,11GB,4.6,3.84,487GB,0.39,91.0,190.24,438,447,116.34,1,2025-04-18 11:59:31.811021
64.29,21GB,329,353,11GB,28GB,3.47,4.05,532GB,0.43,17.77,95.44,236,1333,160.96,1,2025-04-18 11:59:46.811021
53.67,11GB,368,206,21GB,31GB,3.05,2.1,346GB,0.09,60.45,66.91,47,641,229.27,1,2025-04-18 12:00:01.811021
12.49,20GB,426,148,33GB,47GB,2.9,3.87,128GB,0.5,94.88,116.31,24,1174,148.97,1,2025-04-18 12:00:16.811021
50.4,22GB,101,106,34GB,44GB,1.37,3.9,535GB,0.64,12.5,106.64,41,200,319.88,1,2025-04-18 12:00:31.811021
27.32,17GB,297,407,11GB,28GB,1.9,2.29,760GB,0.37,47.31,33.62,67,1578,186.89,1,2025-04-18 12:00:46.811021
20.3,24GB,119,75,12GB,29GB,3.64,1.09,747GB,0.06,98.02,28.12,445,1633,186.3,1,2025-04-18 12:01:01.811021
54.99,27GB,302,97,17GB,27GB,2.0,1.98,773GB,0.62,37.41,81.61,349,1313,206.31,1,2025-04-18 12:01:16.811021
42.89,26GB,274,114,11GB,33GB,4.04,4.66,267GB,0.11,58.37,159.98,34,638,229.07,1,2025-04-18 12:01:31.811021
15.69,13GB,385,64,14GB,5GB,2.54,1.59,170GB,0.59,97.72,71.56,145,227,356.68,1,2025-04-18 12:01:46.811021
37.17,18GB,77,390,38GB,6GB,4.34,2.69,523GB,0.82,87.53,56.33,292,462,103.04,1,2025-04-18 12:02:01.811021
77.3,11GB,328,363,37GB,12GB,2.87,1.02,545GB,0.87,92.61,197.93,34,1519,102.53,1,2025-04-18 12:02:16.811021
30.85,19GB,381,267,37GB,17GB,2.6,2.74,312GB,0.36,21.08,135.86,306,530,221.62,1,2025-04-18 12:02:31.811021
34.67,31GB,346,271,45GB,29GB,2.45,3.5,644GB,0.99,97.42,86.45,450,1694,277.3,1,2025-04-18 12:02:46.811021
21.3,31GB,481,482,17GB,18GB,2.49,3.37,730GB,0.3,53.62,100.25,439,1968,393.54,1,2025-04-18 12:03:01.811021
